region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Month of Ds,AOV,ROAS
North America,Canada,-,Brand,2017-08-10,1241.5500123985107,555.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-11,995.1199900303038,442.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-12,0.0,12.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-13,0.0,3.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-14,998.3500001206993,413.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-15,1028.9799967575816,495.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-16,991.8899939525876,528.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-17,888.2000111695381,85.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-18,850.7100141085684,132.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-19,0.0,17.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-20,0.0,9.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-21,839.0600182171911,461.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-22,656.150002352893,461.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-23,704.1200114879757,397.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-24,870.8999901767819,427.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-25,863.2499956209213,424.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-26,0.0,7.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-27,0.0,7.0,0,0,1,August,42.32,26.36
North America,Canada,-,Brand,2017-08-28,754.569993386045,129.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-29,844.9699879735707,307.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-30,933.3900084272028,510.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-08-31,822.4199911747125,514.0,0,0,0,August,42.32,26.36
North America,Canada,-,Brand,2017-09-01,828.8800115380433,438.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-02,0.0,2.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-03,0.0,11.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-04,471.979995097965,14.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-05,923.5900022201236,447.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-06,956.5899951700126,447.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-07,900.4500109180806,479.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-08,860.8799874205142,409.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-09,0.0,9.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-10,0.0,11.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-11,839.9400197416546,469.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-12,1037.3400075249376,578.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-13,838.2499989345671,520.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-14,1149.1000045854598,460.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-15,1109.3799909185618,460.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-16,0.0,5.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-17,0.0,18.0,0,0,1,September,42.32,26.36
